project_name,description,difficulty,Python,ML,APIs,Frontend,Data,Systems,Viz,DevOps
Real-Time Flight Tracker,Real-time visualization and analysis dashboard,Hard,4,3,2,3,4,5,1,3
Global Ship Radar – Strait of Hormuz & Arabian Sea,Large-scale global data monitoring system,Easy,5,4,5,3,4,2,2,1
Real-Time Satellite Tracker,Interactive map-based data explorer,Medium,4,1,2,3,5,1,3,1
Satellites Over My City Predictor,Large-scale global data monitoring system,Hard,3,5,2,4,2,1,2,2
Global Cyber Attack Map,Large-scale global data monitoring system,Medium,5,4,3,3,5,2,3,2
Urban Intelligence Dashboard,Machine learning prediction and analysis tool,Hard,5,5,3,1,3,1,2,3
Fake News & Narrative Tracker,Large-scale global data monitoring system,Easy,5,1,5,4,4,1,3,1
Satellite Collision Risk Detector,Interactive map-based data explorer,Medium,4,1,4,4,5,5,2,1
Skill Intelligence Dashboard App,AI-powered analytics platform,Easy,5,1,4,1,5,1,5,1
Task Continuity Analysis System,Large-scale global data monitoring system,Hard,4,1,2,3,2,4,1,4
AI-Based Soft Skills Analyzer,Real-time visualization and analysis dashboard,Hard,3,1,2,2,5,5,1,4
Hands-On Persona Evaluation,AI-powered analytics platform,Easy,4,5,3,3,3,4,1,4
Debugging Skill Evaluator,Real-time visualization and analysis dashboard,Hard,3,2,4,1,4,2,1,3
Global Social Media Activity Map,AI-powered analytics platform,Easy,3,3,5,2,5,2,1,2
Internship Project Selection and Team Formation,Large-scale global data monitoring system,Easy,4,5,4,2,2,3,2,1
Global Earthquake Activity Monitor,Interactive map-based data explorer,Medium,5,4,2,3,5,4,3,1
Real-Time Air Traffic Density Map,Machine learning prediction and analysis tool,Hard,4,2,3,2,2,2,2,2
Global Climate Anomaly Tracker,Interactive map-based data explorer,Easy,4,2,5,2,3,5,1,4
Global Power Outage Map,Interactive map-based data explorer,Medium,4,2,4,3,2,4,3,2
Global Pandemic Surveillance Dashboard,Large-scale global data monitoring system,Medium,4,4,4,1,2,5,1,2
